*Vertices 362
29313809 "National_Public_Radio"
29519542 "2011_State_of_the_Union_Address"
29697232 "NPR"
30095259 "Tax_Relief,_Unemployment_Insurance_Reauthorization,_and_Job_Creation_Act_of_2010"
30106389 "Don't_Ask,_Don't_Tell_Repeal_Act_of_2010"
30238542 "Timeline_of_the_Presidency_of_Barack_Obama_(2011)"
31214851 "United_Nations_Security_Council_Resolution_1973"
31279643 "Operation_Unified_Protector"
31651710 "Death_of_Osama_Bin_Laden"
31677330 "Operation_Neptune_Spear"
32497339 "Stimulus_(economic)"
32614682 "Budget_Control_Act_of_2011"
*Arcs 3433
534366 307
534366 569
534366 863
534366 914
534366 2154
534366 3356
534366 4396
534366 5211
534366 5399
534366 5945
534366 6310
534366 6357
534366 6611
534366 6882
534366 6886
534366 7701
534366 7930
534366 8522
534366 9457
534366 10819
534366 11955
534366 12102
534366 12655
534366 13270
534366 13887
534366 14533
534366 14579
534366 14849
534366 14975
534366 15043
534366 15992
534366 16134
534366 16263
534366 16275
534366 17541
534366 17633
534366 18110
534366 19331
534366 19831
534366 21133
534366 21211
534366 21217
534366 22462
534366 22800
534366 22873
534366 23235
534366 23338
534366 24093
534366 24113
534366 24150
534366 24467
534366 24898
534366 24899
534366 25391
534366 25433
534366 31389
534366 31756
534366 31769
534366 31956
534366 32005
534366 32070
534366 32212
534366 32293
534366 32759
534366 33057
534366 38076
534366 38188
534366 41963
534366 42317
534366 43715
534366 44004
534366 44635
534366 44953
534366 47125
534366 48569
534366 49001
534366 51153
534366 52625
534366 53029
534366 56120
534366 56285
534366 56472
534366 57706
534366 58838
534366 72809
534366 76762
534366 82545
534366 83392
534366 85533
534366 101146
534366 103191
534366 114932
534366 140387
534366 141010
534366 145422
534366 151210
534366 153041
534366 156992
534366 158984
534366 163955
534366 168212
534366 182688
534366 186833
534366 188359
534366 195322
534366 206805
534366 211383
534366 217513
534366 230331
534366 232595
534366 238487
534366 239646
534366 243749
534366 245107
534366 253375
534366 261703
534366 278651
534366 302553
534366 308650
534366 318094
534366 320247
534366 321645
534366 334962
534366 339186
534366 343508
534366 346703
534366 356024
534366 361870
534366 364022
534366 411889
534366 412662
534366 430699
534366 432006
534366 453893
534366 469644
534366 483086
534366 512541
534366 525038
534366 530869
534366 534133
534366 552856
534366 557007
534366 590464
534366 606268
534366 609874
534366 614618
534366 635422
534366 636208
534366 645042
534366 649827
534366 695888
534366 706057
534366 721437
534366 741932
534366 757584
534366 759519
534366 845943
534366 861667
534366 889464
534366 893026
534366 893798
534366 905254
534366 912958
534366 925473
534366 925990
534366 953415
534366 984217
534366 1038390
534366 1053718
534366 1071840
534366 1190375
534366 1213941
534366 1263005
534366 1263244
534366 1274750
534366 1309539
534366 1327124
534366 1367038
534366 1379146
534366 1422397
534366 1434885
534366 1437235
534366 1461855
534366 1481886
534366 1486197
534366 1559612
534366 1605031
534366 1838387
534366 1892224
534366 1915219
534366 1926304
534366 1972496
534366 2060634
534366 2070770
534366 2093225
534366 2095829
534366 2153329
534366 2204744
534366 2241181
534366 2546031
534366 2775921
534366 2803134
534366 2863933
534366 2887667
534366 3062771
534366 3089009
534366 3132979
534366 3162905
534366 3164049
534366 3180351
534366 3217930
534366 3223944
534366 3301347
534366 3315198
534366 3414021
534366 3418303
534366 3573208
534366 3661571
534366 3916604
534366 3919687
534366 4107506
534366 4142989
534366 4194277
534366 4257833
534366 4346768
534366 4600783
534366 4859974
534366 5043192
534366 5043324
534366 5043544
534366 5058628
534366 5333249
534366 5397026
534366 5517965
534366 5517979
534366 5722410
534366 5923845
534366 6464503
534366 6598271
534366 6696324
534366 6748919
534366 7203292
534366 7385288
534366 7461670
534366 7479001
534366 8007034
534366 8012494
534366 8236687
534366 8729320
534366 8948490
534366 9034086
534366 9046904
534366 9172097
534366 9221211
534366 9324604
534366 9331926
534366 9379460
534366 9478182
534366 9946136
534366 10110474
534366 10141742
534366 11045469
534366 11667958
534366 12344509
534366 12670114
534366 13085761
534366 13152875
534366 13190675
534366 13709393
534366 13992209
534366 14640471
534366 14939434
534366 14985673
534366 15522755
534366 15560939
534366 15721548
534366 16136849
534366 16384865
534366 16682347
534366 16810005
534366 16859002
534366 17207794
534366 17230385
534366 17286678
534366 17349325
534366 17621363
534366 17649625
534366 17775180
534366 17905608
534366 17969809
534366 17986784
534366 18134605
534366 18185478
534366 18186077
534366 18337522
534366 18408462
534366 18415255
534366 18426501
534366 18426568
534366 18705919
534366 18845119
534366 18935732
534366 18998720
534366 18998750
534366 19467044
534366 19468510
534366 19605492
534366 19666611
534366 19818299
534366 19908980
534366 19944779
534366 20082093
534366 20646803
534366 20767983
534366 20768200
534366 20821646
534366 20948898
534366 21076367
534366 21158533
534366 21214078
534366 21216874
534366 21248534
534366 22128381
534366 22163063
534366 22400042
534366 22502182
534366 22745786
534366 22921595
534366 23021155
534366 23114690
534366 23237354
534366 23518353
534366 23529809
534366 23621094
534366 23626221
534366 24319307
534366 24629811
534366 24909346
534366 25037165
534366 25226624
534366 25692176
534366 26230922
534366 26605056
534366 26709878
534366 27190729
534366 27337059
534366 27608523
534366 28242945
534366 28288074
534366 29313809
534366 29519542
534366 29697232
534366 30095259
534366 30106389
534366 30238542
534366 31214851
534366 31279643
534366 31651710
534366 31677330
534366 32497339
534366 32614682
307 863
307 14849
307 16134
307 24113
307 32070
307 57706
307 85533
307 2546031
307 19468510
307 19908980
307 24909346
569 5211
569 6310
569 21217
569 19666611
863 307
863 2154
863 7930
863 14849
863 16134
863 21217
863 24113
863 31756
863 636208
863 2546031
2154 307
2154 863
2154 14849
2154 15992
2154 21217
2154 22873
2154 24113
2154 31756
2154 32070
2154 33057
2154 43715
2154 49001
2154 534366
2154 645042
2154 1309539
2154 3414021
2154 5043544
2154 9046904
2154 9172097
2154 13152875
2154 18426568
2154 18998750
2154 24909346
3356 6357
3356 11955
3356 12655
3356 15992
3356 21133
3356 22462
3356 24113
3356 25433
3356 31756
3356 32293
3356 33057
3356 44635
3356 153041
3356 168212
3356 206805
3356 318094
3356 534366
3356 635422
3356 741932
3356 1053718
3356 3301347
3356 3414021
3356 5043192
3356 5043324
3356 5043544
3356 9046904
3356 13190675
3356 16859002
3356 18935732
3356 18998750
3356 19468510
3356 19908980
3356 20768200
3356 24909346
3356 30106389
4396 25433
4396 31756
4396 43715
4396 195322
4396 1053718
4396 5043324
4396 5058628
4396 19666611
4396 26709878
5211 14533
5211 25391
5211 18337522
5211 18426501
5399 307
5399 863
5399 3356
5399 8522
5399 21211
5399 31756
5399 32070
5399 44004
5399 56120
5399 534366
5399 893026
5399 3414021
5399 5043544
5399 10110474
5399 19468510
5399 21076367
5945 6886
5945 14849
5945 24113
5945 42317
5945 534366
6310 3356
6310 14975
6310 24113
6310 32293
6310 43715
6310 534366
6310 645042
6310 9046904
6310 11667958
6310 18426501
6310 20768200
6357 3356
6357 11955
6357 15992
6357 19831
6357 24113
6357 24150
6357 25433
6357 33057
6357 217513
6357 239646
6357 534366
6357 3301347
6357 3414021
6357 3418303
6357 5058628
6357 17349325
6611 6886
6611 14849
6611 21211
6611 23338
6611 44635
6611 245107
6882 12102
