Authority values
18987: 0.0140765
18989: 0.00340367
19001: 0.112746
19036: 0.00097956
19038: 0.00883013
19042: 0.00222298
19045: 0.00459131
19053: 0.00473054
19058: 0.0140632
19068: 0.00909766
19127: 0.00918893
19137: 0.0280643
19147: 0.0105387
19169: 0.00719349
19189: 0.0139188
19192: 0.00107939
19201: 0.0139755
19231: 0.00405821
19281: 0.00731382
19323: 0.0400741
19331: 0.00838994
19450: 0.00149139
19496: 0.00428997
19545: 0.0068069
19547: 0.00801643
19548: 0.00201573
19551: 0.00524761
19553: 0.0144078
19555: 0.000971489
19568: 0.00192417
19590: 0.0157706
19673: 0.0246971
19692: 0.00133647
19727: 0.00515429
19766: 0.0116199
19834: 0.00177233
19859: 0.00303338
19876: 0.00120521
19877: 0.00464078
19898: 0.00332426
19918: 0.0309671
19938: 0.000168566
19945: 0.00818679
19977: 0.0110633
19996: 0.0055016
19999: 0.00316116
20020: 0.000515112
20023: 0.00395219
20032: 0.00310067
20050: 0.00279334
20055: 0.00439261
20056: 0.00642904
20060: 0.0110016
20063: 0.0164321
20097: 0.00663714
20205: 0.00279648
20206: 0.0114807
20225: 0.0100218
20268: 0.0100806
20287: 0.0125359
20288: 0.0181579
20292: 0.000774315
20319: 0.0327018
20324: 0.0036198
20407: 0.00499276
20412: 0.000909492
20420: 0.0170349
20428: 0.00110713
20479: 0.000613764
20485: 0.0011869
20627: 0.0012155
20637: 0.00523549
20640: 0.0780528
20682: 0.00237705
20760: 0.0232912
20832: 0.0017273
20901: 0.0145375
20935: 0.00233912
20947: 0.0231642
20979: 0.0103401
21001: 0.0122611
21017: 0.00526143
21021: 0.00649437
21061: 0.000605255
21073: 0.000177192
21113: 0.0028988
21114: 0.0112657
21133: 0.0406586
21139: 0.0432562
21142: 0.00921077
21148: 0.0961844
21177: 0.00466294
21179: 0.0200145
21181: 0.00109506
21184: 0.0164043
21186: 0.00252635
21197: 0.018602
21211: 0.0269859
21212: 0.0343707
21216: 0.00981026
21241: 0.0590637
21242: 0.0387735
21243: 0.00693852
21247: 0.00233366
21255: 0.024671
21265: 0.0238565
21274: 0.00395281
21275: 0.000750053
21287: 0.00507976
21302: 0.0108308
21342: 0.00604516
21362: 0.02559
21373: 0.0103178
21383: 0.0306525
21402: 0.00644561
21422: 0.00364282
21443: 0.00175024
21473: 0.0059313
21482: 0.00466207
21488: 0.00367502
21504: 0.00195886
21550: 0.0085662
21559: 0.0125486
21560: 0.0158333
